EventID,event_name,SampleID,sample,tblSampleID,ices_area,fao_code,catch_date,age,length,weight,maturity,sex,prep_method,stock,reader_number,expertise,country,institute,iso_code,reader,AnnotationID,FishID,IsApproved,strata,AQ_Score,Edge,Nucleus,Comment,tblSmartImageID,ImageName
448,2022 NSS herring exchange (scales),S_39015_14,72335,104110,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,18,1,ICELAND,,IS,R18 IS,661797,S_39015_14,1,27.2.a,AQ1,,,"",72335,S_39015_14.jpg
448,2022 NSS herring exchange (scales),S_39015_22,72343,104118,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,18,1,ICELAND,,IS,R18 IS,660561,S_39015_22,1,27.2.a,AQ1,,,"",72343,S_39015_22.jpg
448,2022 NSS herring exchange (scales),S_39015_03,72324,104099,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,24,1,NORWAY,,NO,R24 NO,585343,S_39015_03,1,27.2.a,AQ1,,,,72324,S_39015_03.jpg
448,2022 NSS herring exchange (scales),S_39015_14,72335,104110,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,24,1,NORWAY,,NO,R24 NO,585442,S_39015_14,1,27.2.a,AQ1,,,,72335,S_39015_14.jpg
448,2022 NSS herring exchange (scales),S_39015_22,72343,104118,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,24,1,NORWAY,,NO,R24 NO,585469,S_39015_22,1,27.2.a,AQ1,,,,72343,S_39015_22.jpg
448,2022 NSS herring exchange (scales),S_39015_03,72324,104099,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,30,0,FAROE ISLANDS,,FO,R30 FO,664804,S_39015_03,1,27.2.a,AQ2,,,,72324,S_39015_03.jpg
448,2022 NSS herring exchange (scales),S_39015_14,72335,104110,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,30,0,FAROE ISLANDS,,FO,R30 FO,664826,S_39015_14,1,27.2.a,AQ2,,,,72335,S_39015_14.jpg
448,2022 NSS herring exchange (scales),S_39015_22,72343,104118,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,30,0,FAROE ISLANDS,,FO,R30 FO,664843,S_39015_22,1,27.2.a,AQ1,,,,72343,S_39015_22.jpg
448,2022 NSS herring exchange (scales),S_39015_03,72324,104099,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,32,0,FAROE ISLANDS,,FO,R32 FO,648906,S_39015_03,1,27.2.a,AQ1,,,,72324,S_39015_03.jpg
448,2022 NSS herring exchange (scales),S_39015_14,72335,104110,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,32,0,FAROE ISLANDS,,FO,R32 FO,650169,S_39015_14,1,27.2.a,AQ2,,,,72335,S_39015_14.jpg
448,2022 NSS herring exchange (scales),S_39015_22,72343,104118,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,32,0,FAROE ISLANDS,,FO,R32 FO,652977,S_39015_22,1,27.2.a,AQ1,,,,72343,S_39015_22.jpg
448,2022 NSS herring exchange (scales),S_39015_07,72328,104103,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,M,Whole,her.27.1-24a514a,2,1,NORWAY,,NO,R02 NO,704707,S_39015_07,1,27.2.a,AQ1,,,,72328,S_39015_07.jpg
448,2022 NSS herring exchange (scales),S_39015_07,72328,104103,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,M,Whole,her.27.1-24a514a,4,1,NORWAY,,NO,R04 NO,574110,S_39015_07,1,27.2.a,AQ1,,,,72328,S_39015_07.jpg
